ticker,cik,form,filed,report_date,accession,is_xbrl,is_inline_xbrl,document_url,index_url
ASTS,0001780312,424B3,2021-07-29,,0001493152-21-018041,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221018041/form424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221018041/0001493152-21-018041-index.html
ASTS,0001780312,8-K,2021-07-29,2021-07-29,0001493152-21-018038,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221018038/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221018038/0001493152-21-018038-index.html
ASTS,0001780312,8-K,2021-07-29,2021-07-23,0001493152-21-018033,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221018033/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221018033/0001493152-21-018033-index.html
ASTS,0001780312,8-K,2021-08-16,2021-08-16,0001493152-21-020196,1,1,https://www.sec.gov/Archives/edgar/data/1780312/000149315221020196/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221020196/0001493152-21-020196-index.html
ASTS,0001780312,10-Q,2021-08-16,2021-06-30,0001493152-21-020153,1,1,https://www.sec.gov/Archives/edgar/data/1780312/000149315221020153/form10-q.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221020153/0001493152-21-020153-index.html
ASTS,0001780312,424B3,2021-08-17,,0001493152-21-020427,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221020427/form-424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221020427/0001493152-21-020427-index.html
ASTS,0001780312,424B3,2021-08-17,,0001493152-21-020425,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221020425/form-424b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221020425/0001493152-21-020425-index.html
ASTS,0001780312,8-K,2021-09-10,2021-09-10,0001493152-21-022365,1,1,https://www.sec.gov/Archives/edgar/data/1780312/000149315221022365/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221022365/0001493152-21-022365-index.html
ASTS,0001780312,8-K,2021-09-20,2021-09-15,0001493152-21-023191,1,1,https://www.sec.gov/Archives/edgar/data/1780312/000149315221023191/form8-k.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221023191/0001493152-21-023191-index.html
ASTS,0001780312,424B3,2021-09-21,,0001493152-21-023287,0,0,https://www.sec.gov/Archives/edgar/data/1780312/000149315221023287/form42b3.htm,https://www.sec.gov/Archives/edgar/data/1780312/000149315221023287/0001493152-21-023287-index.html
